time,x,y,theta,encoder_l,encoder_r,angular_velocity,linear_acceleration,fault
0.02,-0.025374562537651968,-0.12278481834289924,4.508599009095487,0.13043378004366818,0.12008026836806888,-2.0676385274379285,-0.03263923083383978,encoder_drift
0.04,-0.05679488782730343,-0.23879569671249595,4.447894876708408,0.2602954640025209,0.2346796185864442,-3.082196272223494,0.0948705826184321,encoder_drift
0.06,-0.08548044129967063,-0.3512694177720636,4.4626703077173975,0.37519791694022425,0.3537325034601996,0.6280747935847364,0.04044110714927163,encoder_drift
0.08,-0.11828729944888942,-0.4726528540634894,4.448421233605215,0.5055511617813611,0.4758836171752546,-0.7212357435141084,0.03417054935617885,encoder_drift
0.1,-0.14486672741359843,-0.5876179770527039,4.485185380595106,0.618233704886979,0.6008110005401136,1.9151193565729234,-0.00835863457085086,encoder_drift
0.12000000000000001,-0.1570700270817592,-0.7141052697164821,4.6162081995082875,0.7244516397656261,0.7495704079522895,6.459189832947757,0.002255503730070619,encoder_drift
0.13999999999999999,-0.17377304517876507,-0.8306810983219637,4.570077269805031,0.8467261945885451,0.8587629072903641,-2.3147080480167617,-0.07995448023830078,encoder_drift
0.16,-0.18300161887817923,-0.9478314105160662,4.633775831649359,0.9567510859439907,0.9854425927117427,3.1311909132135898,-0.07619411277354236,encoder_drift
0.18,-0.20222966710408702,-1.064644948065852,4.549247284836564,1.0862919781211975,1.0908101423968062,-4.1961958319369215,0.0007272243150449608,encoder_drift
0.19999999999999998,-0.22519818962727664,-1.1905943378989965,4.53200804005019,1.2185911471346886,1.2138441786935954,-0.890110764197473,-0.06251564236029536,encoder_drift
0.22,-0.24514615594785918,-1.3033516921321464,4.537290132604916,1.3327524139162945,1.3214762925290886,0.23467187628269837,-0.03943081124872733,encoder_drift
0.24,-0.27161704206853715,-1.4260742081271138,4.499946652101801,1.464329726682928,1.4424512117473165,-1.934256367935534,-0.03470567011654903,encoder_drift
0.26,-0.2995161603141547,-1.5347596953668747,4.461118296220124,1.583357250824311,1.5480799438553325,-2.0014536793667577,-0.04120874186481936,encoder_drift
0.28,-0.336384865157514,-1.65454362575376,4.413797689694975,1.71624185834616,1.6678694920269552,-2.298454989587734,0.03827813709151707,encoder_drift
0.30000000000000004,-0.3730449912252154,-1.7626011243969575,4.385309469455811,1.8394880227432615,1.7764917385328958,-1.35485071863037,-0.07834649583874598,encoder_drift
0.32,-0.40480920449159663,-1.8825756480020261,4.4535693970027985,1.950205703071316,1.9117357566571678,3.4235251824735213,0.22120861130734762,encoder_drift
0.34,-0.4364579117586667,-1.9885460236084076,4.422165506460273,2.0674454520479153,2.017537525655006,-1.596381349597609,0.3432867931717962,encoder_drift
0.36000000000000004,-0.47753051668861446,-2.102382049554641,4.3661209598070325,2.1949954927441664,2.1265540892122834,-2.7566610456420975,0.13324877847139238,encoder_drift
0.38,-0.5159200659720578,-2.2189374688894854,4.394212050077873,2.311033096334321,2.252929181288271,1.3943937740062395,-0.14040227412817963,encoder_drift
0.4,-0.5587460168830857,-2.328035656840839,4.338325780323362,2.4395076384870036,2.362025503437316,-2.736096176320107,-0.023638361703227525,encoder_drift
0.42000000000000004,-0.599687999636773,-2.437511072241602,4.354509916200871,2.555727521981219,2.483251201822191,0.7998420999079802,0.0700877122023473,encoder_drift
0.44,-0.6373216946105064,-2.544232154011459,4.373367767703199,2.6684876441368637,2.5997578397415393,0.9426188193155631,-0.0015890974197489455,encoder_drift
0.46,-0.6735230777513888,-2.6493799820580137,4.380809731189168,2.7780291049338124,2.715230162723482,0.44395820436544475,0.11286085091490212,encoder_drift
0.48000000000000004,-0.714234975049876,-2.765513255683744,4.3752136984725265,2.9008908227048296,2.8375876890449,-0.31155960683095785,-0.04647539720518748,encoder_drift
0.5,-0.7520188382646049,-2.8834010324339587,4.402226155181283,3.0247634529139615,2.962382436697054,1.3698880385043315,-0.16703232495952752,encoder_drift
0.52,-0.7857970536608725,-2.995353744352394,4.4193562363037655,3.1364118537115853,3.079331562164521,0.7815772090323887,-0.13651412824741702,encoder_drift
0.54,-0.8141202083598211,-3.0903363767190144,4.422590820930986,3.2382738518074645,3.1789064326815697,0.14977488734575115,-0.03529135698489446,encoder_drift
0.56,-0.8461043152723041,-3.195318942539989,4.416661426648846,3.3503218064885725,3.2846065560459414,-0.3345912674538015,-0.05316700877993261,encoder_drift
0.5800000000000001,-0.8834844966725687,-3.313151982128374,4.405200703898614,3.4739858727858697,3.4093549155846246,-0.5737117371119242,-0.0007456203001370507,encoder_drift
