time,x,y,theta,encoder_left,encoder_right,imu_gyro,imu_ax,imu_ay,label
0.01,0.004902506834128935,-1.835844350012753e-06,-0.000374470516067435,0.004939954229470474,0.004865060126256987,-0.04171866999605295,0.491894762063829,0.47309467850437337,encoder_skip
0.02,0.010093235814454326,-1.5676265783889692e-05,-0.002666367033757369,0.010359891313397512,0.009826617906646039,-0.23055010821797503,0.5495696297483991,0.507948930908739,encoder_skip
0.03,0.01516740049981075,-3.262239140133536e-05,-0.003339675328989808,0.015501415125582303,0.014833480059784342,-0.06103566430949359,0.5249162054466759,0.4995521801151376,encoder_skip
0.04,0.019955264616095914,-5.259429393506146e-05,-0.004171335320142194,0.02037248689579433,0.019538219831765895,-0.08031000384562528,0.4706213571676352,0.48988085541415755,encoder_skip
0.05,0.02487666942824019,-5.3922251597172285e-05,-0.00026983304169663457,0.02490374165925748,0.024849775050918156,0.3912401254400102,0.46402850243537963,0.5344092577366738,encoder_skip
0.060000000000000005,0.02994083068598067,-5.017918938376676e-05,0.0007391276346227359,0.029867008232666442,0.030014833759590995,0.09614143520769337,0.46613066539683046,0.5351383694965481,encoder_skip
0.07,0.03490821566067257,-5.1871567093022415e-05,-0.00034069790290004146,0.029867008232666442,0.03487423646882539,-0.10104195464707294,0.4775492837535562,0.4700508601662551,encoder_skip
0.08,0.04006280456257487,-4.061034359262925e-05,0.002184695190731176,0.029867008232666442,0.04028137698126611,0.2555389712903952,0.48394207966096286,0.5231668956435868,encoder_skip
0.09,0.04514441064659888,-3.231517076670675e-05,0.001632390492437966,0.029867008232666442,0.04530775936594293,-0.060256684280326364,0.5396390282041309,0.49003769689601384,encoder_skip
0.09999999999999999,0.05008821682860441,-2.8428556708231597e-05,0.0007861580965535022,0.034895439182007056,0.05016694383610665,-0.08261726211273013,0.5089696031266431,0.5041838659227181,encoder_skip
0.10999999999999999,0.05508129623742565,-2.4714596883288767e-05,0.0007438213647153804,0.039892753645273504,0.05515579095300547,0.0035326049959746777,0.502937996566299,0.46118875705842965,encoder_skip
0.11999999999999998,0.059996441337278335,-1.3695796738177388e-05,0.0022418019127172814,0.04465811304131479,0.06022074645864714,0.15184331726948214,0.44338314391897515,0.49135414251453974,encoder_skip
0.12999999999999998,0.06519674562545143,-4.566015410797247e-06,0.001755622640808044,0.04990704327090627,0.06537244083385677,-0.053289410674389165,0.5083406894149672,0.47752808175094896,encoder_skip
0.13999999999999999,0.07033445638373605,2.420397217499411e-05,0.005599709331188091,0.04990704327090627,0.07089464081317384,0.375101883284248,0.4948785988800769,0.5456878097592416,encoder_skip
0.15,0.07548922150370391,4.779162249681701e-05,0.004575860420919786,0.055164247248892885,0.0759470750091068,-0.10193632722595374,0.5025542033864739,0.48404017615675154,encoder_skip
0.16,0.08037465571792006,7.932365818116328e-05,0.006454205800260415,0.059861948682652016,0.08102044551873405,0.19074772013142127,0.4613036982922007,0.5282354294973112,encoder_skip
0.17,0.08542171288964484,0.00012592108898045568,0.009232331887848597,0.06463140834861898,0.08634553040221865,0.267327677845319,0.5286141709988665,0.5514697940171017,encoder_skip
0.18000000000000002,0.09041132538617758,0.0001731415808563408,0.00946347682354538,0.06959812978826481,0.09135848082900383,0.01745084713048612,0.4685622279437834,0.5416204168209791,encoder_skip
0.19000000000000003,0.09546787053352414,0.00022108665422822986,0.009481500754063087,0.06959812978826481,0.09641705566672965,0.0009035579379828321,0.5078683831127122,0.5583300156479998,encoder_skip
0.20000000000000004,0.10036456706426411,0.00027241610768044,0.010482081785431911,0.07439503723809567,0.10141407932283426,0.08939404657219813,0.49274775634030243,0.49023933890472626,encoder_skip
0.21000000000000005,0.10538165149137156,0.0003212641905093109,0.009736040938553391,0.07948696354523646,0.10635679746059935,-0.07164713344456082,0.49506283446721766,0.4851526274286852,encoder_skip
0.22000000000000006,0.11025606380475483,0.00037461079740466687,0.01094377613983273,0.08424089424806705,0.11135227520368582,0.11534848796863426,0.46032308302832864,0.5134842938107356,encoder_skip
0.23000000000000007,0.11540475844742776,0.0004314611272483904,0.01104124901123983,0.08938015545611182,0.11651103098601201,0.012575311163427208,0.5138449873546914,0.5133333983276525,encoder_skip
0.24000000000000007,0.12058482473259091,0.0004892922609512052,0.011163704870547748,0.08938015545611182,0.11651103098601201,0.010441939189506057,0.5358839756145642,0.535943530505331,encoder_skip
0.25000000000000006,0.12570549735518294,0.0005644636337693244,0.014678925836563973,0.09414985770951234,0.12198377743261578,0.34478954479002527,0.47803825157036395,0.5255430902712694,encoder_skip
0.26000000000000006,0.13064879119931833,0.0006365457991213883,0.014580775360172644,0.0991034921175275,0.12691778174535268,-0.01298505772915168,0.5613136033691019,0.5162351376363671,encoder_skip
0.2700000000000001,0.1357980688537677,0.0007213891157115105,0.016475250645610694,0.10406402116669562,0.1322572058516084,0.19512457473361278,0.487157646653801,0.5473075028682963,encoder_skip
